Device ID,events,Harsh Acceleration event,Harsh Branking event,Over Speed event,Usage Anual Range
867162025148577,109,75,34,0,0 a 12k
867162025148578,90,23,21,46,25 a +40k
867162025482589,34,27,5,2,12 a 25k
867162025483033,58,48,2,8,25 a +40k
867162025484775,27,27,0,0,0 a 12k
867162025543844,404,218,186,0,25 a +40k
867162025546318,301,204,97,0,0 a 12k
867162025555632,69,46,23,0,0 a 12k
867162025558974,150,84,66,0,0 a 12k
867162025559402,300,202,98,0,25 a +40k
867162025559485,91,65,26,0,0 a 12k
867162025561457,155,119,36,0,12 a 25k
867162025562000,124,67,57,0,25 a +40k
867162025567199,254,150,104,0,0 a 12k
867162025567207,774,267,507,0,0 a 12k
867162025567231,374,258,115,1,12 a 25k
867162025567249,133,77,55,1,0 a 12k
867162025567264,248,43,205,0,0 a 12k
867162025567280,153,111,42,0,0 a 12k
867162025567298,470,284,138,48,12 a 25k
867162025567314,258,177,81,0,12 a 25k
867162025567322,328,231,92,5,25 a +40k
867162025567330,602,264,279,59,12 a 25k
867162025567447,54,38,16,0,12 a 25k
867162025567520,678,105,568,5,12 a 25k
867162025567546,800,369,316,115,0 a 12k
867162025567553,73,47,26,0,25 a +40k
867162025567587,147,106,41,0,12 a 25k
867162025567603,788,391,397,0,25 a +40k
867162025567611,292,112,180,0,12 a 25k
867162025567637,226,94,132,0,12 a 25k
867162025567660,924,272,652,0,12 a 25k
867162025567686,118,73,45,0,12 a 25k
867162025567694,92,32,60,0,0 a 12k
867162025567702,451,242,209,0,12 a 25k
867162025567710,10,6,4,0,12 a 25k
867162025567736,281,157,124,0,12 a 25k
867162025567744,122,78,44,0,12 a 25k
867162025567751,505,213,292,0,12 a 25k
867162025567801,165,51,114,0,0 a 12k
867162025567819,163,105,58,0,0 a 12k
867162025567835,110,46,64,0,12 a 25k
867162025567868,666,206,458,2,12 a 25k
867162025567918,16,11,5,0,0 a 12k
867162025567934,0,0,0,0,25 a +40k
867162025568007,428,214,162,52,12 a 25k
867162025568049,130,45,85,0,0 a 12k
867162025568056,773,393,380,0,12 a 25k
867162025568072,410,237,173,0,12 a 25k
867162025568080,165,104,61,0,12 a 25k
867162025568148,87,54,31,2,0 a 12k
867162025568171,144,88,56,0,12 a 25k
867162025568262,839,514,325,0,12 a 25k
867162025568288,190,100,90,0,0 a 12k
867162025568296,674,276,398,0,12 a 25k
867162025568304,183,97,86,0,0 a 12k
867162025568338,858,445,413,0,12 a 25k
867162025568353,491,266,223,2,25 a +40k
867162025568379,238,112,126,0,12 a 25k
867162025568395,119,44,74,1,25 a +40k
867162025568478,102,54,48,0,12 a 25k
867162025568494,192,112,80,0,25 a +40k
867162025568510,327,194,133,0,0 a 12k
867162025568536,485,197,288,0,12 a 25k
867162025568544,240,141,98,1,12 a 25k
867162025568569,246,202,44,0,12 a 25k
867162025568635,185,49,39,97,12 a 25k
867162025568668,76,35,41,0,0 a 12k
867162025568676,39,25,14,0,0 a 12k
867162025568684,798,445,351,2,25 a +40k
867162025568734,166,87,79,0,12 a 25k
867162025568742,293,196,97,0,0 a 12k
867162025568759,236,85,151,0,12 a 25k
867162025568775,253,178,75,0,0 a 12k
867162025568825,307,144,162,1,0 a 12k
867162025568916,228,130,95,3,0 a 12k
867162025568924,148,75,73,0,12 a 25k
867162025568932,327,184,138,5,12 a 25k
867162025568957,16,11,5,0,12 a 25k
